70	no error
500000000	1	6.79353e+09
70	no error
500000000	5	3.69053e+10
70	no error
500000000	10	7.55904e+10
70	no error
500000000	15	9.37108e+10
70	no error
500000000	20	9.48383e+10
70	no error
500000000	25	9.53924e+10
70	no error
500000000	30	9.65329e+10
70	no error
500000000	35	1.05079e+11
70	no error
500000000	40	1.18533e+11
70	no error
500000000	45	1.31773e+11
70	no error
500000000	50	1.44633e+11
70	no error
500000000	55	1.57259e+11
70	no error
500000000	60	1.69598e+11
70	no error
500000000	65	1.81596e+11
70	no error
500000000	70	1.93802e+11
70	no error
500000000	75	2.04343e+11
70	no error
500000000	80	2.13555e+11
70	no error
500000000	85	2.21926e+11
70	no error
500000000	90	2.30687e+11
70	no error
500000000	95	2.38395e+11
70	no error
500000000	100	2.45329e+11
