75	no error
75	no error
500000000	1	3.5873e+09
75	no error
75	no error
500000000	5	2.21102e+10
75	no error
75	no error
500000000	10	4.84193e+10
75	no error
75	no error
500000000	15	9.17226e+10
75	no error
75	no error
500000000	20	1.22112e+11
75	no error
75	no error
500000000	25	1.5824e+11
75	no error
75	no error
500000000	30	1.91551e+11
75	no error
75	no error
500000000	35	2.18243e+11
75	no error
75	no error
500000000	40	2.56089e+11
75	no error
75	no error
500000000	45	2.86105e+11
75	no error
75	no error
500000000	50	3.19772e+11
75	no error
75	no error
500000000	55	3.53898e+11
75	no error
75	no error
500000000	60	3.81819e+11
75	no error
75	no error
500000000	65	4.03603e+11
75	no error
75	no error
500000000	70	4.49504e+11
75	no error
75	no error
500000000	75	4.75759e+11
75	no error
75	no error
500000000	80	5.15341e+11
75	no error
75	no error
500000000	85	5.31321e+11
75	no error
75	no error
500000000	90	5.76705e+11
75	no error
75	no error
500000000	95	6.11989e+11
75	no error
75	no error
500000000	100	6.413e+11
